timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1600714885820,33,getBooks request,200,,External app 1-3,text,true,,174,122,4,4,http://localhost:8080/books/,31,0,20
1600714885839,15,getBooks request,200,,External app 1-4,text,true,,174,122,4,4,http://localhost:8080/books/,12,0,1
1600714885819,33,getBooks request,200,,External app 1-1,text,true,,174,122,4,4,http://localhost:8080/books/,31,0,20
1600714885819,33,getBooks request,200,,External app 1-2,text,true,,174,122,4,4,http://localhost:8080/books/,31,0,20
1600714885856,2,getBooks request,200,,External app 1-3,text,true,,174,122,4,4,http://localhost:8080/books/,2,0,0
1600714885856,2,getBooks request,200,,External app 1-1,text,true,,174,122,4,4,http://localhost:8080/books/,2,0,0
1600714885856,2,getBooks request,200,,External app 1-2,text,true,,174,122,4,4,http://localhost:8080/books/,2,0,0
1600714885856,2,getBooks request,200,,External app 1-4,text,true,,174,122,4,4,http://localhost:8080/books/,2,0,0
1600714885858,2,getBooks request,200,,External app 1-4,text,true,,174,122,4,4,http://localhost:8080/books/,2,0,0
1600714885858,2,getBooks request,200,,External app 1-1,text,true,,174,122,4,4,http://localhost:8080/books/,2,0,0
1600714885858,2,getBooks request,200,,External app 1-3,text,true,,174,122,4,4,http://localhost:8080/books/,2,0,0
1600714885858,2,getBooks request,200,,External app 1-2,text,true,,174,122,4,4,http://localhost:8080/books/,2,0,0
1600714885860,2,getBooks request,200,,External app 1-1,text,true,,174,122,4,4,http://localhost:8080/books/,1,0,0
1600714885860,2,getBooks request,200,,External app 1-3,text,true,,174,122,4,4,http://localhost:8080/books/,1,0,0
1600714885860,2,getBooks request,200,,External app 1-4,text,true,,174,122,4,4,http://localhost:8080/books/,1,0,0
1600714885860,3,getBooks request,200,,External app 1-2,text,true,,174,122,4,4,http://localhost:8080/books/,2,0,0
1600714885862,1,getBooks request,200,,External app 1-3,text,true,,174,122,4,4,http://localhost:8080/books/,1,0,0
1600714885862,1,getBooks request,200,,External app 1-4,text,true,,174,122,4,4,http://localhost:8080/books/,1,0,0
1600714885862,1,getBooks request,200,,External app 1-1,text,true,,174,122,4,4,http://localhost:8080/books/,1,0,0
1600714885863,2,getBooks request,200,,External app 1-2,text,true,,174,122,4,4,http://localhost:8080/books/,2,0,0
1600714885864,1,getBooks request,200,,External app 1-4,text,true,,174,122,4,4,http://localhost:8080/books/,1,0,0
1600714885864,1,getBooks request,200,,External app 1-3,text,true,,174,122,4,4,http://localhost:8080/books/,1,0,0
1600714885864,2,getBooks request,200,,External app 1-1,text,true,,174,122,4,4,http://localhost:8080/books/,2,0,0
1600714885865,2,getBooks request,200,,External app 1-4,text,true,,174,122,4,4,http://localhost:8080/books/,1,0,0
1600714885865,2,getBooks request,200,,External app 1-2,text,true,,174,122,4,4,http://localhost:8080/books/,1,0,0
1600714885865,2,getBooks request,200,,External app 1-3,text,true,,174,122,4,4,http://localhost:8080/books/,2,0,0
1600714885867,1,getBooks request,200,,External app 1-2,text,true,,174,122,4,4,http://localhost:8080/books/,1,0,0
1600714885866,2,getBooks request,200,,External app 1-1,text,true,,174,122,4,4,http://localhost:8080/books/,2,0,0
1600714885867,1,getBooks request,200,,External app 1-4,text,true,,174,122,4,4,http://localhost:8080/books/,1,0,0
1600714885867,2,getBooks request,200,,External app 1-3,text,true,,174,122,4,4,http://localhost:8080/books/,2,0,0
1600714885868,2,getBooks request,200,,External app 1-2,text,true,,174,122,5,5,http://localhost:8080/books/,2,0,0
1600714885869,1,getBooks request,200,,External app 1-4,text,true,,174,122,5,5,http://localhost:8080/books/,1,0,0
1600714885868,2,getBooks request,200,,External app 1-1,text,true,,174,122,5,5,http://localhost:8080/books/,2,0,0
1600714885869,2,getBooks request,200,,External app 1-3,text,true,,174,122,5,5,http://localhost:8080/books/,2,0,0
1600714885870,2,getBooks request,200,,External app 1-1,text,true,,174,122,5,5,http://localhost:8080/books/,2,0,0
1600714885870,2,getBooks request,200,,External app 1-2,text,true,,174,122,5,5,http://localhost:8080/books/,2,0,0
1600714885870,2,getBooks request,200,,External app 1-4,text,true,,174,122,5,5,http://localhost:8080/books/,2,0,0
1600714885871,2,getBooks request,200,,External app 1-3,text,true,,174,122,5,5,http://localhost:8080/books/,2,0,0
1600714885872,2,getBooks request,200,,External app 1-2,text,true,,174,122,4,4,http://localhost:8080/books/,2,0,0
1600714885872,2,getBooks request,200,,External app 1-1,text,true,,174,122,4,4,http://localhost:8080/books/,2,0,0
1600714885871,3,getBooks request,200,,External app 1-5,text,true,,174,122,4,4,http://localhost:8080/books/,3,0,1
1600714885874,3,getBooks request,200,,External app 1-5,text,true,,174,122,1,1,http://localhost:8080/books/,3,0,0
1600714885877,2,getBooks request,200,,External app 1-5,text,true,,174,122,1,1,http://localhost:8080/books/,1,0,0
1600714885879,1,getBooks request,200,,External app 1-5,text,true,,174,122,1,1,http://localhost:8080/books/,1,0,0
1600714885880,1,getBooks request,200,,External app 1-5,text,true,,174,122,1,1,http://localhost:8080/books/,1,0,0
1600714885882,1,getBooks request,200,,External app 1-5,text,true,,174,122,1,1,http://localhost:8080/books/,1,0,0
1600714885883,1,getBooks request,200,,External app 1-5,text,true,,174,122,1,1,http://localhost:8080/books/,1,0,0
1600714885884,1,getBooks request,200,,External app 1-5,text,true,,174,122,1,1,http://localhost:8080/books/,1,0,0
1600714885885,2,getBooks request,200,,External app 1-5,text,true,,174,122,1,1,http://localhost:8080/books/,2,0,0
1600714885887,1,getBooks request,200,,External app 1-5,text,true,,174,122,1,1,http://localhost:8080/books/,1,0,0
1600714885903,3,getBooks request,200,,External app 1-6,text,true,,174,122,1,1,http://localhost:8080/books/,3,0,1
1600714885906,2,getBooks request,200,,External app 1-6,text,true,,174,122,1,1,http://localhost:8080/books/,2,0,0
1600714885908,2,getBooks request,200,,External app 1-6,text,true,,174,122,1,1,http://localhost:8080/books/,2,0,0
1600714885910,1,getBooks request,200,,External app 1-6,text,true,,174,122,1,1,http://localhost:8080/books/,1,0,0
1600714885912,1,getBooks request,200,,External app 1-6,text,true,,174,122,1,1,http://localhost:8080/books/,1,0,0
1600714885913,1,getBooks request,200,,External app 1-6,text,true,,174,122,1,1,http://localhost:8080/books/,1,0,0
1600714885915,1,getBooks request,200,,External app 1-6,text,true,,174,122,1,1,http://localhost:8080/books/,1,0,0
1600714885916,1,getBooks request,200,,External app 1-6,text,true,,174,122,1,1,http://localhost:8080/books/,1,0,0
1600714885917,2,getBooks request,200,,External app 1-6,text,true,,174,122,1,1,http://localhost:8080/books/,2,0,0
1600714885919,1,getBooks request,200,,External app 1-6,text,true,,174,122,1,1,http://localhost:8080/books/,1,0,0
1600714885937,4,getBooks request,200,,External app 1-7,text,true,,174,122,1,1,http://localhost:8080/books/,4,0,1
1600714885941,2,getBooks request,200,,External app 1-7,text,true,,174,122,1,1,http://localhost:8080/books/,2,0,0
1600714885944,1,getBooks request,200,,External app 1-7,text,true,,174,122,1,1,http://localhost:8080/books/,1,0,0
1600714885946,2,getBooks request,200,,External app 1-7,text,true,,174,122,1,1,http://localhost:8080/books/,2,0,0
1600714885948,1,getBooks request,200,,External app 1-7,text,true,,174,122,1,1,http://localhost:8080/books/,1,0,0
1600714885950,1,getBooks request,200,,External app 1-7,text,true,,174,122,1,1,http://localhost:8080/books/,1,0,0
1600714885951,1,getBooks request,200,,External app 1-7,text,true,,174,122,1,1,http://localhost:8080/books/,1,0,0
1600714885953,1,getBooks request,200,,External app 1-7,text,true,,174,122,1,1,http://localhost:8080/books/,1,0,0
1600714885954,1,getBooks request,200,,External app 1-7,text,true,,174,122,1,1,http://localhost:8080/books/,1,0,0
1600714885955,1,getBooks request,200,,External app 1-7,text,true,,174,122,1,1,http://localhost:8080/books/,1,0,0
1600714885970,4,getBooks request,200,,External app 1-8,text,true,,174,122,1,1,http://localhost:8080/books/,4,0,1
1600714885975,2,getBooks request,200,,External app 1-8,text,true,,174,122,1,1,http://localhost:8080/books/,2,0,0
1600714885978,1,getBooks request,200,,External app 1-8,text,true,,174,122,1,1,http://localhost:8080/books/,1,0,0
